model,val_error,ms_per_image,n_params
cnn,0.05003000000000002,0.6054507812223164,11181642
vit,0.25914000000000004,4.373032421790413,5577080
clip,0.3548,0.017030925118888263,166282
dino,0.258,0.019949153102061246,855178
